id;idade;sexo;fatoe_i;fator_ii;fato_iii;fator_iv;fator_v;epn_ra;epn_rv;epn_rm;epn_re;epn_rn;epn_eg;gerenc;relac;percep;usofaci;conemo;regemo;experi;etrateg;ie1;ie2;ie;av_des1;av_des2;av_des
a147;31;1;5.4;5.2;5.3;4.3;6.75;82;132;106;77;103;95;45.302;48.2089;43.2075;42.887;43.4917;46.7554;43.0473;45.1236;43.2643;44.9065;44.0854;4;5.4;4.7
a148;20;1;5.6;5.8;6.1;5.1;6.75;104;99;96;80;103;92;52.14;53.4889;42.1015;46.09;44.7021;52.8144;44.0957;48.7583;44.459;48.395;46.427;5.7;5.2;5.45
a149;35;1;3.1;2.8;7.3;5.5;6.55;104;105;126;110;115;115;33.009;41.8444;48.6108;45.773;38.9913;37.4267;47.1919;38.209;41.7257;43.6753;42.7005;5.5;5.7;5.6
a150;26;1;6.4;4.1;6.6;6.4;5.05;94;82;106;86;78;87;32.483;13.2189;29.6358;31.0133;34.784;22.8509;30.3246;28.8175;36.6682;22.4738;29.571;3.8;5.6;4.7
a151;17;1;5.2;5.7;8.4;6.4;5.85;104;105;114;107;146;112;31.732;20.9289;38.6343;45.6167;40.6754;26.3304;42.1255;33.5029;42.2797;33.3488;37.8142;4.6;4.9;4.75
a152;23;1;7;3;5.2;5.6;3.55;74;74;98;60;71;71;41.518;37.7444;34.6422;41.8517;29.4926;39.6312;38.2469;34.5619;37.701;35.1078;36.4044;4.4;4.7;4.55
a153;20;1;5.4;7;7.5;3.5;6.55;109;89;118;86;106;100;40.233;39.5778;43.4987;34.645;44.3458;39.9054;39.0718;42.1256;39.8512;41.3463;40.5987;5;5.5;5.25
a154;31;1;2.9;3.2;8.9;4.3;7.25;79;89;98;91;98;88;42.631;24.9333;45.9783;39.4837;40.9894;33.7822;42.731;37.3858;44.0932;36.0236;40.0584;2.4;4.77778;3.58889
a155;31;2;5.5;8.7;6.5;7.7;7.55;82;82;85;74;90;78;12.266;38.5144;40.8861;45.197;36.1751;25.3902;43.0415;30.7827;33.7781;40.0461;36.9121;4.2;5.125;4.6625
a156;32;1;2.2;6.3;7.3;4.7;8.05;104;95;106;102;96;100;43.636;47.6667;46.7992;38.916;41.9544;45.6513;42.8576;43.8029;43.9898;42.6707;43.3302;3.5;5;4.25
a157;23;1;3.6;2.6;6.7;4.4;9.35;92;91;121;116;98;105;37.826;26.9667;47.2034;;40.0998;32.3963;47.2034;36.248;43.4743;36.3253;39.8998;4.7;4.6;4.65
a158;45;1;5.3;6.1;6.9;5.3;7.05;109;99;98;99;83;93;43.2575;48.5667;42.2628;34.337;39.3217;45.9121;38.2999;42.6169;39.946;40.9708;40.4584;4.2;4.9;4.55
a159;28;1;7.4;5.4;7;5.3;8.15;92;95;82;70;86;80;51.92;33.4511;45.8037;47.34;38.7839;42.6856;46.5718;40.7347;45.878;39.4581;43.1266;4.6;5;4.8
